entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,expediente-numero
Plan 54 escuelas,"Escuela de Educacion Primaria N.deg 24 D.E. 15 ""Francisco Morazan"" - Siglo XXI",Finalizada,Escuelas,Ministerio de Educacion,Primaria,67065700.0,12,villa urquiza,"rivera, pedro i., dr. 4221",2013-12-01,2016-05-31,29,100,CribaS.A.,2013,Licitacion Publica,2030-MDUGC-2013,30505454436,914412-MDUGC-2013
Donado Holmberg,Calle Holmberg: Nivelacion en cruce,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creo un parque lineal planteado como un recorrido que incluyo pequenas plazas y genero continuidad fisica y espacial a lo largo de toda su traza, mediante la nivelacion de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomas le Breton, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.",9950017.0,12,villa urquiza,holmberg y olazabal av.,2015-03-16,2016-07-15,16,100,AltoteS.A,2014,Licitacion Publica,957/2014,30707431896,5515928/2014
Area Ambiental Central,Area Ambiental Central: Calles Alsina Y Moreno,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelacion, colocacion de darsenas de carga y descarga, nuevas luminarias y se reemplazo el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.",36942632.0,1,montserrat,"alsina, adolfo e irigoyen, bernardo de",2016-01-12,2017-11-15,22,100,RolIngenieriaS.A,2016,Licitacion Publica,640-SIGAF/16,30578447659,nan
Area Ambiental Central,Area Ambiental Central: Calle Esmeralda I,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"La obra incluyo el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelacion con el objetivo de dejar un carril central para transito liviano, restringiendo el paso de colectivos. Ademas, se intalaron nuevas luminarias y se plantaron arboles.",26938294.0,1,san nicolas,esmeralda y corrientes av.,2014-10-27,2017-02-28,28,100,DalConstruccionesS.A,2014,Licitacion Publica,305/2014,30604370171,nan
Villa Olimpica,Villa Olimpica: Viviendas II,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La segunda licitacion comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.,148823367.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-08-30,18,100,EMACOSA-CONSTRUCTORALANUSSESA-UTE,2015,Licitacion Publica,115/2015,30714969362,16.821.753-0GPUYAJ2014
Villa Olimpica,Villa Olimpica: Viviendas III,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,El tercer conjunto licitado comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.,179192366.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-25,2017-10-15,20,100,BriconsS.A.I.C.F.I.,2015,Licitacion Publica,329-329-MDUGC-2015,30541068151,1026045-1026045-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas IV,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La cuarta licitacion comprendio la construccion de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.,163279322.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-08-30,18,100,DycasaS.A.,2015,Licitacion Publica,395/2015,33516294189,2.163.614-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas IX,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 9 contemplo la construccion de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,137837183.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-03-28,2018-02-15,23,100,CribaS.A.,2015,Licitacion Publica,580/2015,30505454436,12.809.363-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas V,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 5 contemplo la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.,166503404.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-03-15,2017-09-30,18,100,DycasaS.A.,2015,Licitacion Publica,396/2015,33516294189,2.254.226-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas VI,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 6 contemplo la construccion de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.,160833300.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-08-30,18,100,CribaS.A.,2015,Licitacion Publica,450/2015,30505454436,EX-2015-03683859- -MGEYA-DGPUYA
Villa Olimpica,Villa Olimpica: Viviendas VII,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 7 contemplo la construccion de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,123691183.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-25,2017-10-31,20,100,CunumiS.A,2015,Licitacion Publica,449/2015,30615748036,7.482.410-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas VIII,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 8 contemplo la construccion de 4 edificios que fueron destinados a los Juegos Olimpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.,174609630.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-02-15,2017-11-15,21,100,ConstructoraSudamericanaS.A.,2015,Licitacion Publica,528/2015,30610895456,7.483.365-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas X,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,"La licitacion No 10 completo el grupo de licitaciones de viviendas para los Juegos Olimpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Ademas, se construyeron aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.",98174265.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2016-04-28,2017-12-31,20,100,VidogarConstruccionesS.A,2015,Licitacion Publica,573/2015,30553433564,12.808.238-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas I,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 1 contemplo la construccion de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.,154853715.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.",2015-06-01,2017-12-20,30,100,CavconS.A.,2015,Licitacion Publica,1876/2014,33707292259,15282589-DGPUYA/2D14
Villa Olimpica,Villa Olimpica: Provision Y Colocacion De Equipamiento De Cocina En Edificios Villa Olimpica,Finalizada,Vivienda,Corporacion Buenos Aires Sur,"La Obra Consiste En La Provision Y Colocacion De Equipamiento En Las Cocinas, SUM, Espacios De Parrilla, Lavaderos Y Locales De Los 29 Edificios De Villa Olimpica",58565032.0,8,villa lugano,escalada av. 4200,2018-08-07,2019-05-04,9,100,CALELLOHERMANOSSA,2018,Licitacion Publica,04-CBAS-2018,30500716858,nan
Parque Olimpico,"Parque Olimpico: Demolicion total, extraccion y trasplante de arboles, cerco perimetral",Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"Se procedio a la contruccion de un cerco olimpico perimetral que ayudo a delimitar el area de intervencion, resguardando la ejecucion de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Ademas, incluyo tambien las tareas de demolicion de los edificios y equipamientos obsoletos existentes, la extraccion y trasplante de los arboles y arbustos dentro del mismo predio.",48590604.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2016-12-28,2017-03-30,3,100,SalvatoriS.AParquesYJardines,2016,Licitacion Publica,880-SIGAF/16,30512700124,20515970-DGIURB-2016
Parque Olimpico,"Parque Olimpico: Instalacion de red de agua potable, incendio cloacal, pluvial y red de gas.",Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagi 1/4es cloacales, desagi 1/4es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olimpico.",42340809.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2017-01-30,2018-04-16,15,100,TecmaS.A.,2016,Licitacion Publica,1032-SIGAF/16,30623866528,20.669.375-DGIURB-2016
Parque Olimpico,Parque Olimpico: Pabellones A1 Y A2.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.,194988604.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2017-02-15,2017-12-31,10,100,ConstructoraSudamericanaS.A.,2016,Licitacion Publica,1192-SIGAF/16,30610895456,2016-24004377-MGEYA-DGIURB
Parque Olimpico,Parque Olimpico: Pabellones A3 Y A4.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olimpicos.,168646366.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2017-02-15,2018-01-12,11,100,CribaS.A.,2016,Licitacion Publica,1191-SIGAF/16,30505454436,EX-2016-24004750-MGEYA-DGIURB
Parque Olimpico,"Parque Olimpico: Espacio publico, equipamiento deportivo exterior",Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"Se contemplo la reacondicion y modernizacion del espacio publico y equipamiento deportivo exterior. Las areas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Ademas, se puso en valor el portico de acceso al parque olimpico, la construccion de una cabina de control con su sector de servicios y la rehabilitacion de la torre tanque acondicionada e incluida al sistema de proteccion contra incendios.",349706395.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2017-06-07,2018-10-30,16,100,ConorvialS.A,2017,Licitacion Publica,266/2017,33504596309,27359314-DGIURB-2016
Villa Olimpica,Villa Olimpica: Ejecucion Banos En Locales Comerciales En Edificios Villa Olimpica,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,La Obra Consiste En La Ejecucion De Seis Nucleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Olimpica ,1686743.0,8,villa lugano,escalada av. 4200,2018-11-19,2019-01-19,2,100,BosquimanoS.A,2018,Contratacion Directa,54-CBAS-2018,30711470022,nan
Villa Olimpica,Villa Olimpica: Readecuacion  Locales Planta Baja Edificios UG7 Villa Olimpica,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,La Obra Consiste En La Readecuacion De Locales De Planta Baja En Edifio UG7 De Villa Olimpica ,3118410.0,8,villa lugano,escalada av. 4200,2019-02-05,2019-04-06,1,100,CMCONSTRUCCIONESSA,2019,Contratacion Directa,57-CBAS-2018,30714322660,nan
Villa Olimpica,Villa Olimpica: Provision Y Colocacion De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olimpica,Finalizada,Vivienda,Corporacion Buenos Aires Sur,La Obra Consiste En La Provision y Colocacion de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Olimpica,6595600.0,8,villa lugano,escalada av. 4200,2019-01-02,2019-02-11,0,100,MIAVASASA,2019,Licitacion Privada,01-CBAS-2018,30677303863,nan
Parque Olimpico,Parque Olimpico: Pabellon B.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"La obra consistio en la construccion del Pabellon C que albergo a la competencia de gimnasia artistica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, banos generales, oficinas y los espacios necesarios de logistica, enfermeria y doping.",283389377.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2017-08-05,2018-06-30,10,100,CribaS.A.,2017,Licitacion Publica,35/17,30505454436,24.005.383-DGIURB-2016
Parque Olimpico,Parque Olimpico: Infraestructura electrica.,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La licitacion contemplo el reacondicionamiento y modernizacion de las instalaciones existentes en el Parque Olimpico y la ejecucion de la nueva red para la distribucion de energia de los pabellones y edificios administrativos. La obra incluyo una sub estacion de entrada de energia, grupo electrogeno de emergencia, transformadores elevadores de tension e instalaciones de alimentacion en los edificios.",54936733.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,2017-02-13,2018-05-30,15,100,UrbanBairesS.A.,2016,Licitacion Publica,1035-SIGAF/16,30711290075,EX-2016- 20669799-DGIURB
Villa Olimpica,"Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M",Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Nivelacion De Los Terrenos Que Se Encuentran Conformados Por El Espacio Urbano De La Villa Olimpica,13671988.0,8,villa lugano,escalada av. 4200,2018-08-06,2018-11-04,3,100,MIAVASASA,2018,Contratacion Directa,45-CBAS-2018,30677303863,nan
Villa Olimpica,Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"La obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de Los Edificio UG1-UG2-UG3-UG4 UG5 Y UG7 de la Villa Olimpica.",150333723.0,8,villa lugano,escalada av. 4200,2018-11-30,2019-05-29,6,100,CMCONSTRUCCIONESSA,2018,Contratacion Directa,41-CBAS-2018,30714322660,nan
Paseo Del Bajo,Paseo Del Bajo: Tramo A - Viaductos,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"La realizacion de esta obra significo una organizacion vial que mejoro sustancialmente la circulacion de mas de 25.000 vehiculos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminacion visual sonora y del aire y aumentando la seguridad vehicular y de peatones. Esta obra tiene mas de 6 kilometros de extension que conecta el sur con el norte de la Ciudad. Se encuentra ubicada entre las calles Alicia Moreau de Justo y Madero-Huergo, y luego en la zona de Retiro circulando por Av. Ramos Mejia, Antartida Argentina y Castillo. Al costado de la trinchera para vehiculos pesados<sobre las avenidas Alicia Moreau de Justo y Madero-Huergo, se ubican los carriles para transito liviano. Hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad maxima de 60 y dos de 40 kilometros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. El iC/AAPaseo del Bajo"" contemplo ademas la creacion de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos iC/AAiA'Parque LezamaiC/AA y que estan ubicados a los costados de los carriles para vehiculos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. Ademas, se crearon nuevas ciclovias para facilitar el acceso y fomentar la recreacion y la movilidad sustentable en la zona.",1547000000.0,1,puerto madero,"huergo, ing. av. y garay, juan de av.",2017-01-02,2019-08-30,31,100,CORSANCORVIAMCONSTRUCCIONSA,2016,Licitacion Publica,2016-01-0007-00,30710216386,nan
